#LastName,#FirstName,#Jersey Num,#Position,#Height,#Weight,#Birth Date
Clarkson,Jordan,6,SG,6'5",185,6/7/1992
Cole,Norris,30,PG,6'2",175,10/13/1988
Collison,Darren,7,PG,6'0",175,8/23/1987
Collison,Nick,4,PF,6'10",255,10/26/1980
Conley,Mike,11,PG,6'1",175,10/11/1987
Connaughton,Pat,5,SG,6'5",206,1/6/1993
Cook,Quinn,,PG,6'2",179,3/23/1993
Cousins,DeMarcus,15,C,6'11",270,8/12/1990
Covington,Robert,33,SF,6'9",215,12/14/1990
Crabbe,Allen,23,SG,6'6",210,4/9/1992
Crawford,Drew,1,SG,6'5",209,10/18/1990
Crawford,Jamal,11,SG,6'5",195,3/20/1980
Crawford,Jordan,,SG,,,
Crowder,Jae,99,SF,6'6",235,7/6/1990
Cunningham,Dante,44,SF,6'8",230,4/22/1987
Curry,Seth,30,PG,6'2",185,8/23/1990
Curry,Stephen,30,PG,6'3",185,3/14/1988
Daniels,Troy,30,SG,6'4",204,7/15/1991
Davis,Anthony,23,PF,6'10",253,3/11/1993
Davis,Deyonta,23,F,6'10",240,12/2/1996
Davis,Ed,17,PF,6'10",240,6/5/1989
Dawson,Branden,22,PF,6'6",225,2/1/1993
Dedmon,Dewayne,3,C,7'0",245,8/12/1989
Dekker,Sam,7,SF,6'9",230,5/6/1994
Delaney,Malcolm,5,G,6'3",190,3/11/1989
Dellavedova,Matthew,8,PG,6'4",200,9/8/1990
Deng,Luol,19,PF,6'9",220,4/16/1985
DeRozan,DeMar,10,SG,6'7",220,8/7/1989
Diallo,Cheick,13,F,6'9",220,9/13/1996
Diaw,Boris,33,PF,6'8",250,4/16/1982
Dieng,Gorgui,5,C,6'11",241,1/18/1990
Dinwiddie,Spencer,18,PG,6'6",200,4/6/1993
Douglas,Toney,16,PG,6'2",195,3/16/1986
Dragic,Goran,7,PG,6'3",190,5/6/1986
Drummond,Andre,0,C,6'11",279,8/10/1993
Dudley,Jared,1,PF,6'7",225,7/10/1985
Duncan,Tim,21,C,6'11",250,4/25/1976
Dunleavy,Mike,34,SF,6'9",220,9/15/1980
Dunn,Kris,3,G,6'4",205,3/18/1994
Durant,Kevin,35,SF,6'9",240,9/29/1988
Eddie,Jarell,8,SF,6'7",218,10/30/1991
Ellenson,Henry,8,F,6'11",245,1/13/1997
Ellington,Wayne,21,SG,6'4",200,10/29/1987
Ellis,Monta,11,SG,6'3",185,10/26/1985
Embiid,Joel,21,C,7'0",250,3/16/1994
Ennis,Tyler,6,PG,6'0",175,8/24/1994
Ennis III,James,8,SF,6'7",210,7/1/1990
Evans,Jeremy,21,SF,6'9",200,10/24/1987
Evans,Tyreke,1,SG,6'6",220,9/18/1989
Exum,Dante,11,G,6'6",190,7/13/1995
Faried,Kenneth,35,PF,6'8",228,11/19/1989
Farmar,Jordan,20,PG,6'2",180,11/30/1986
Favors,Derrick,15,PF,6'10",265,7/15/1991
Felder,Kay,20,G,5'9",176,3/29/1995
Felicio,Cristiano,6,C,6'10",275,7/7/1992
Felton,Raymond,29,PG,6'1",205,6/26/1984
Ferrell,Yogi,11,G,6'0",180,5/8/1993
Finney-Smith,Dorian,10,F,6'8",220,5/4/1993
Forbes,Bryn,11,G,6'3",190,7/23/1993
Fournier,Evan,10,SF,6'7",205,10/29/1992
Foye,Randy,2,SG,6'4",213,9/24/1983
Frazier,Tim,2,PG,6'1",170,11/1/1990
Frye,Channing,9,C,6'11",255,5/17/1983
Gallinari,Danilo,8,SF,6'10",225,8/8/1988
Galloway,Langston,21,PG,6'2",200,12/8/1991
Garino,Patricio,,SG,6'6",203,5/17/1993
Garnett,Kevin,21,PF,6'11",240,5/18/1976
Gasol,Marc,33,C,7'1",255,1/29/1985
Gasol,Pau,16,C,7'0",250,7/6/1980
Gay,Rudy,8,SF,6'8",230,8/17/1986
Gbinije,Michael,9,F,6'7",200,6/5/1992
Gee,Alonzo,15,SF,6'6",225,5/29/1987
George,Paul,13,SF,6'9",220,5/2/1990
Georges-Hunt,Marcus,24,G,6'6",220,3/28/1994
Gibson,Jonathan,3,G,,,11/8/1987
Gibson,Taj,22,PF,6'9",225,6/24/1985
Ginobili,Manu,20,SG,6'6",205,7/28/1977
Gobert,Rudy,27,C,7'1",245,6/26/1992
Goodwin,Archie,8,PG,6'5",205,8/17/1994
Gordon,Aaron,0,PF,6'9",220,9/16/1995
Gordon,Eric,10,SG,6'4",215,12/25/1988
Gortat,Marcin,13,C,6'11",240,2/17/1984
Gortat,X,,C,,,
Graham,Treveon,12,F,6'6",226,10/28/1993
Grant,Jerami,39,SF,6'8",210,3/12/1994
Grant,Jerian,13,PG,6'4",198,10/9/1992
Green,Danny,14,SG,6'6",215,6/22/1987
Green,Draymond,23,PF,6'7",230,3/4/1990
Green,Erick,18,PG,6'4",185,5/8/1991
Green,Gerald,14,SG,6'7",205,1/26/1986
Green,JaMychal,0,PF,6'9",227,6/21/1990
Green,Jeff,8,SF,6'9",235,8/28/1986
Griffin,Blake,32,PF,6'10",251,3/16/1989
Gutierrez,Jorge,12,PG,6'3",191,12/26/1988
Hamilton,Justin,41,C,7'0",260,4/1/1990
Hammons,A.J.,20,C,7'0",26,8/27/1992
Hardaway Jr.,Tim,10,SG,6'6",205,3/16/1992
Harden,James,13,SG,6'5",220,8/26/1989
Harkless,Maurice,4,SF,6'9",215,5/11/1993
Harper,Justin,,PF,6'10",225,8/30/1989
Harrell,Montrezl,35,PF,6'8",240,1/26/1994
Harris,Devin,34,PG,6'3",192,2/27/1983
Harris,Gary,14,SG,6'4",210,9/14/1994
Harris,Joe,,SG,6'6",219,9/7/1991
Harris,Manny,6,SG,6'5",185,9/21/1989
Harris,Tobias,34,PF,6'9",235,7/15/1992
Harrison,Aaron,9,SG,6'6",210,10/28/1994
Harrison,Andrew,5,G,6'6",213,10/28/1994
Haslem,Udonis,40,PF,6'8",235,6/9/1980
Hawes,Spencer,0,PF,7'1",245,4/27/1988
Hayward,Gordon,20,SF,6'8",226,3/23/1990
Henderson,Gerald,9,SG,6'5",215,12/9/1987
Henson,John,31,C,6'11",229,12/28/1990
Hernangomez,Guillermo,14,C,6'11",240,5/27/1994
Hernangomez,Juancho,41,F,6'9",230,9/28/1995
Hezonja,Mario,23,SF,6'8",215,2/25/1995
Hibbert,Roy,55,C,7'2",270,12/9/1986
Hickson,JJ,21,C,6'9",242,9/4/1988
Hield,Buddy,24,G,6'4",214,12/16/1993
Hilario,Nene,42,PF,6'11",250,
Hill,George,3,PG,6'3",192,5/4/1986
Hill,Jordan,27,C,6'10",235,7/27/1987
Hill,Solomon,40,SF,6'7",225,3/18/1991
Hilliard,Darrun,6,SG,6'6",205,4/13/1993
Holiday,Jrue,11,PG,6'4",205,6/12/1990
Holiday,Justin,7,SG,6'6",185,4/5/1989
Hollis-Jefferson,Rondae,24,SF,6'7",220,1/3/1995
Holmes,Richaun,22,PF,6'10",245,10/15/1993
Hood,Rodney,5,SG,6'8",206,10/20/1992
Horford,Al,15,C,6'10",245,6/3/1986
House,Danuel,4,F,6'7",215,6/7/1993
Howard,Dwight,8,C,6'11",265,12/8/1985
Huertas,Marcelo,9,PG,6'3",185,5/25/1983
Huestis,Josh,34,PF,6'7",230,12/19/1991
Humphries,Kris,43,PF,6'9",235,2/6/1985
Hunter,RJ,28,SG,6'5",185,10/24/1993
Ibaka,Serge,7,PF,6'10",245,9/17/1989
Iguodala,Andre,9,SF,6'6",207,1/28/1984
Ilyasova,Ersan,7,PF,6'10",235,5/14/1987
Ingles,Joe,2,SF,6'8",226,10/1/1987
Ingram,Brandon,14,F,6'9",190,9/2/1997
Irving,Kyrie,2,PG,6'3",193,3/23/1992
Jack,Jarrett,2,PG,6'3",200,10/28/1983
Jackson,Demetrius,9,G,6'1",201,9/7/1994
Jackson,Pierre,,SG,5'10",180,8/29/1991
Jackson,Reggie,1,PG,6'3",208,4/16/1990
James,LeBron,23,SF,6'8",250,12/30/1984
Jefferson,Al,25,C,6'10",289,1/4/1985
Jefferson,Richard,24,SF,6'7",233,6/21/1980
Jenkins,John,23,SG,6'4",215,3/6/1991
Jennings,Brandon,55,PG,6'1",169,9/23/1989
Jerebko,Jonas,8,PF,6'10",231,3/2/1987
Johnson,Amir,90,PF,6'9",240,5/1/1987
Johnson,Brice,10,F,6'10",230,6/27/1994
Johnson,James,3,PF,6'9",238,2/20/1987
Johnson,Joe,6,SF,6'7",240,6/29/1981
Johnson,Stanley,3,SF,6'7",245,5/29/1996
Johnson,Tyler,8,SG,6'4",186,5/6/1992
Johnson,Wesley,33,SF,6'7",215,7/11/1987
Jokic,Nikola,15,C,6'10",250,2/19/1995
Jones,Dahntay,30,SF,6'6",225,12/26/1980
Jones,Damian,15,C,7'0",245,6/30/1995
Jones,James,1,SF,6'8",218,10/4/1980
Jones,Terrence,14,PF,6'9",252,1/8/1992
Jones,Tyus,1,PG,6'2",195,5/10/1996
Jones,Derrick,10,F,6'7",190,2/15/1997
Jordan,DeAndre,6,C,6'11",265,7/21/1988
Joseph,Cory,6,SG,6'3",190,8/20/1991
Kaminsky,Frank,44,C,7'0",242,4/4/1993
Kanter,Enes,11,C,6'11",245,5/20/1992
Kelly,Ryan,30,PF,6'11",230,4/9/1991
Kidd-Gilchrist,Michael,14,SF,6'7",232,9/26/1993
Kilpatrick,Sean,6,SG,6'4",210,1/6/1990
Knight,Brandon,3,SG,6'3",189,12/2/1991
Korver,Kyle,26,SG,6'7",212,3/17/1981
Koufos,Kosta,41,C,7'0",265,2/24/1989
Kuzminskas,Mindaugas,91,F,6'9",215,10/19/1989
Labissiere,Skal,3,F,6'11",225,3/18/1996
Lamb,Jeremy,3,SG,6'5",185,5/30/1992
Landry,Carl,7,PF,6'9",248,9/19/1983
Laprovittola,Nicolas,27,G,6'4",180,1/31/1990
Lauvergne,Joffrey,77,C,6'11",220,9/30/1991
LaVine,Zach,8,SG,6'5",189,3/10/1995
Lawson,Ty,10,G,5'11",195,11/3/1987
Layman,Jake,10,F,6'9",210,3/7/1994
Lee,Courtney,1,SG,6'5",200,10/3/1985
Lee,David,42,PF,6'9",245,4/29/1983
Len,Alex,21,C,7'1",260,6/16/1993
Leonard,Kawhi,2,SF,6'7",230,6/29/1991
Leonard,Meyers,11,PF,7'1",245,2/27/1992
Leuer,Jon,30,PF,6'10",228,5/14/1989
Levert,Caris,22,G,6'6",185,8/25/1994
Liggins,DeAndre,14,G,6'6",209,3/31/1988
Lillard,Damian,0,PG,6'3",195,7/15/1990
Lin,Jeremy,7,SG,6'3",200,8/23/1988
Livingston,Shaun,34,PG,6'7",182,9/11/1985
Long,Shawn,,PF,6'9",248,1/29/1993
Looney,Kevon,36,PF,6'9",220,2/6/1996
Lopez,Brook,11,C,7'0",275,4/1/1988
Lopez,Robin,8,C,7'0",265,4/1/1988
Love,Kevin,0,PF,6'10",251,9/7/1988
Lowry,Kyle,7,PG,6'0",205,3/25/1986
Lucas III,John,11,G,5'11",166,11/21/1982
Luwawu-Cabarrot,Timothe,20,G,6'6",205,5/9/1995
Lyles,Trey,41,PF,6'10",234,11/5/1995
Mack,Shelvin,8,PG,6'3",203,4/22/1990
Mahinmi,Ian,28,C,6'11",255,11/5/1986
Maker,Thon,7,F,7'1",223,2/25/1997
Marjanovic,Boban,40,C,7'3",290,8/15/1988
Marshall,Kendall,5,PG,6'4",200,8/19/1991
Martin,Jarell,10,PF,6'10",239,5/24/1994
Matthews,Wesley,23,SG,6'5",220,10/14/1986
Mbah a Moute,Luc,12,PF,6'8",230,9/9/1986
McAdoo,James Michael,20,PF,6'9",230,1/4/1993
McCallum,Ray,5,PG,6'3",190,6/12/1991
McCaw,Patrick,,G,6'7",185,10/25/1995
McClellan,Sheldon,9,G,6'6",200,12/21/1992
McCollum,CJ,3,SG,6'4",200,9/19/1991
McConnell,TJ,12,PG,6'2",200,3/25/1992
McCullough,Chris,1,PF,6'11",200,2/5/1995
McDaniels,KJ,32,SF,6'6",205,2/9/1993
McDermott,Doug,3,SF,6'8",225,1/3/1992
McGary,Mitch,33,PF,6'10",255,6/6/1992
McGee,JaVale,11,C,7'0",270,1/19/1988
McGruder,Rodney,77,SG,6'4",205,7/29/1991
McLemore,Ben,23,SG,6'5",195,2/11/1993
McRae,Jordan,12,PG,6'6",185,3/28/1991
McRoberts,Josh,4,PF,6'10",240,2/28/1987
Meeks,Jodie,20,SG,6'4",210,8/21/1987
Mejri,Salah,50,C,7'1",245,6/15/1986
Mickey,Jordan,55,PF,6'8",235,7/9/1994
Middleton,Khris,22,SG,6'8",234,8/12/1991
Miles,CJ,0,SF,6'6",231,4/18/1987
Miller,Mike,3,SF,6'8",218,2/19/1980
Mills,Patty,8,PG,6'0",185,8/11/1988
Millsap,Elijah,,SG,6'6",225,8/11/1987
Millsap,Paul,4,PF,6'8",246,2/10/1985
Mirotic,Nikola,44,PF,6'10",220,2/11/1991
Monroe,Greg,15,C,6'11",265,6/4/1990
Moore,E'Twaun,55,SG,6'4",205,2/28/1989
Morris,Marcus,13,SF,6'9",235,9/2/1989
Morris,Markieff,5,PF,6'10",245,9/2/1989
Morrow,Anthony,2,SG,6'5",210,9/27/1985
Motiejunas,Donatas,20,PF,7'0",222,9/20/1990
Mozgov,Timofey,20,C,7'1",275,7/16/1986
Mudiay,Emmanuel,0,PG,6'5",200,3/5/1996
Muhammad,Shabazz,15,SF,6'6",223,11/13/1992
Murray,Dejounte,5,G,6'5",170,9/19/1996
Murray,Jamal,27,G,6'4",207,2/23/1997
Muscala,Mike,31,C,6'11",240,7/1/1991
Nance Jr.,Larry,7,PF,6'9",230,1/1/1993
Napier,Shabazz,13,PG,6'1",175,7/14/1991
Ndour,Maurice,,F,6'9",200,6/18/1992
Neal,Gary,,PG,6'4",210,10/3/1984
Nelson,Jameer,1,PG,6'0",190,2/9/1982
Nene,Maybyner,42,C,,,
Neto,Raul,25,PG,6'1",179,5/19/1992
Niang,George,32,F,6'8",230,6/17/1993
Nicholson,Andrew,44,PF,6'9",250,12/7/1989
Noah,Joakim,13,C,6'11",232,2/25/1985
Noel,Nerlens,4,C,6'11",228,4/9/1994
Nogueira,Lucas,92,C,7'0",220,7/26/1992
Novak,Steve,6,PF,6'10",225,6/13/1983
Nowitzki,Dirk,41,PF,7'0",245,6/19/1978
Nurkic,Jusuf,23,C,7'0",280,8/23/1994
Nwaba,David,11,G,,,
O'Bryant III,Johnny,77,PF,6'9",257,6/1/1993
Ochefu,Daniel,32,F,6'11",245,12/15/1993
Okafor,Jahlil,8,C,6'11",275,12/15/1995
Oladipo,Victor,25,SG,6'4",210,5/4/1992
Olynyk,Kelly,41,C,7'0",238,4/19/1991
Onuaku,Arinze,21,F,6'9",255,7/13/1987
Onuaku,Chinanu,21,F,6'10",245,11/1/1996
O'Quinn,Kyle,9,PF,6'10",250,3/26/1990
Oubre Jr.,Kelly,12,SF,6'7",205,12/9/1995
Pachulia,Zaza,27,C,6'11",275,2/10/1984
Papagiannis,Georgios,13,C,7'1",240,7/3/1997
Parker,Jabari,12,PF,6'8",250,3/15/1995
Parker,Tony,9,PG,6'2",185,5/17/1982
Parsons,Chandler,25,SF,6'10",230,10/25/1988
Patterson,Lamar,33,SG,6'6",215,8/12/1991
Patterson,Patrick,54,PF,6'9",235,3/14/1989
Paul,Chris,3,PG,6'0",175,5/6/1985
Payne,Adreian,33,PF,6'10",237,2/19/1991
Payne,Cameron,22,PG,6'3",185,8/8/1994
Payton,Elfrid,4,PG,6'4",185,2/22/1994
Payton II,Gary,,PG,6'3",184,12/1/1992
Perkins,Kendrick,5,C,6'10",270,11/10/1984
Pierce,Paul,34,SF,6'7",235,10/13/1977
Plumlee,Marshall,40,C,7'0",250,7/14/1992
Plumlee,Mason,24,C,6'11",245,3/5/1990
Plumlee,Miles,18,C,6'11",249,8/31/1988
Poeltl,Jakob,42,C,7'0",230,10/15/1995
Pondexter,Quincy,20,SG,6'7",220,3/10/1988
Porter Jr.,Otto,22,SF,6'8",198,6/3/1993
Portis,Bobby,5,PF,6'11",230,2/10/1995
Porzingis,Kristaps,6,PF,7'3",240,8/2/1995
Powell,Dwight,7,PF,6'11",240,7/20/1991
Powell,Norman,24,SG,6'4",215,5/25/1993
Poythress,Alex,,C,6'8",239,9/6/1993
Pressey,Phil,25,PG,5'11",175,2/17/1991
Price,Ronnie,14,PG,6'2",190,6/21/1983
Prince,Taurean,12,F,6'8",220,3/22/1994
Quarterman,Tim,55,G,6'6",190,10/27/1994
Randle,Chasson,5,PG,6'2",185,2/5/1993
Randle,Julius,30,PF,6'9",250,11/29/1994
Randolph,Zach,50,PF,6'9",260,7/16/1981
Redick,JJ,4,SG,6'4",190,6/24/1984
Reed,Willie,35,PF,6'11",235,5/16/1990
Richardson,Josh,0,SG,6'6",200,9/15/1993
Richardson,Malachi,5,G,6'6",205,1/5/1996
Rivers,Austin,25,SG,6'4",200,8/1/1992
Roberson,Andre,21,SG,6'7",210,12/4/1991
Roberts,Brian,22,PG,6'1",173,12/3/1985
Robinson,Thomas,15,F,6'10",237,3/17/1991
Robinson III,Glenn,40,SF,6'7",222,1/8/1994
Rodriguez,Sergio,14,G,6'3",176,6/12/1986
Rondo,Rajon,9,PG,6'1",186,2/22/1986
Rose,Derrick,1,PG,6'3",190,10/4/1988
Ross,Terrence,31,SF,6'7",195,2/4/1991
Rozier,Terry,12,PG,6'2",190,3/17/1994
Rubio,Ricky,9,PG,6'4",194,10/21/1990
Rudez,Damjan,3,SF,6'10",228,6/17/1986
Rush,Brandon,4,SG,6'6",210,7/7/1985
Russell,D'Angelo,1,PG,6'5",195,2/23/1996
Sabonis,Domantas,3,PF,6'11",240,5/3/1996
Sanders,Larry,,C,6'11",235,11/21/1988
Saric,Dario,9,F,6'10",223,4/8/1994
Satoransky,Tomas,31,G,6'7",210,10/30/1991
Schroder,Dennis,17,PG,6'1",172,9/15/1993
Scola,Luis,4,PF,6'9",240,4/30/1980
Scott,Mike,32,PF,6'8",237,7/16/1988
Sefolosha,Thabo,25,SF,6'7",220,5/2/1984
Selden,Wayne,,SG,6'6",232,9/30/1994
Seraphin,Kevin,1,C,6'10",278,12/7/1989
Sessions,Ramon,7,PG,6'3",190,4/11/1986
Shumpert,Iman,4,SG,6'5",220,6/26/1990
Siakam,Pascal,43,F,6'9",230,4/2/1994
Simmons,Jonathon,17,SG,6'6",195,9/14/1989
Sims,Henry,14,C,6'10",248,3/27/1990
Singler,Kyle,5,SF,6'8",228,5/4/1988
Smart,Marcus,36,PG,6'4",220,3/6/1994
Smith,Ish,11,PG,6'0",175,7/5/1988
Smith,Jason,14,C,7'0",240,3/2/1986
Smith,J.R.,5,SG,6'6",225,9/9/1985
Snell,Tony,21,SF,6'7",200,11/10/1991
Speights,Marreese,5,C,6'10",255,8/4/1987
Splitter,Tiago,11,C,6'11",245,
Stauskas,Nik,11,SG,6'6",205,10/7/1993
Stephenson,Lance,5,G,6'5",230,9/5/1990
Stokes,Jarnell,12,PF,6'9",225,1/7/1994
Stone,Diamond,,C,6'11",255,2/10/1997
Stuckey,Rodney,2,PG,6'5",205,4/21/1986
Sullinger,Jared,0,PF,6'9",280,3/3/1992
Tavares,Walter,22,C,7'3",260,3/21/1992
Taylor,Isaiah,,PG,6'3",168,7/11/1994
Teague,Jeff,44,PG,6'2",186,6/10/1988
Teletovic,Mirza,35,PF,6'9",242,9/18/1985
Temple,Garrett,17,SF,6'6",195,5/8/1986
Terry,Jason,3,SG,6'2",185,9/15/1977
Thomas,Isaiah,4,PG,5'9",185,2/7/1989
Thomas,Lance,42,PF,6'8",235,4/24/1988
Thompson,Hollis,31,SG,6'8",206,4/3/1991
Thompson,Klay,11,SG,6'7",205,2/8/1990
Thompson,Tristan,13,PF,6'9",238,3/13/1991
Thompson,X,,C,,,
Thornton,Marcus,15,SG,6'4",205,6/4/1987
Tobey,Mike,10,C,7'0",260,10/10/1994
Tolliver,Anthony,43,PF,6'8",240,6/1/1985
Toupane,Axel,6,SF,6'7",197,7/23/1992
Towns,Karl-Anthony,32,C,7'0",244,11/15/1995
Tucker,P.J.,17,SF,6'6",245,5/5/1985
Turner,Evan,1,SG,6'7",216,10/27/1988
Turner,Myles,33,C,6'11",243,3/24/1996
Udrih,Beno,19,G,6'3",205,7/5/1982
Ulis,Tyler,8,G,5'10",150,1/5/1996
Uthoff,Jarrod,,SF,6'10",214,5/19/1993
Valanciunas,Jonas,17,C,7'0",255,5/6/1992
Valentine,Denzel,45,G,6'6",212,11/16/1993
VanVleet,Fred,23,G,6'0",195,2/25/1994
Varejao,Anderson,18,C,6'10",273,9/27/1982
Vasquez,Greivis,21,PG,6'6",217,1/16/1987
Vaughn,Rashad,20,SG,6'6",202,8/16/1996
Villanueva,Charlie,3,PF,6'11",232,8/24/1984
Vonleh,Noah,21,PF,6'10",240,8/24/1995
Vucevic,Nikola,9,C,7'0",260,10/24/1990
Vujacic,Sasha,18,SG,6'7",193,3/8/1984
Wade,Dwyane,3,SG,6'4",220,1/17/1982
Waiters,Dion,11,SG,6'4",225,12/10/1991
Walker,Kemba,15,PG,6'1",172,5/8/1990
Wall,John,2,PG,6'4",195,9/6/1990
Warren,TJ,12,SF,6'8",230,9/5/1993
Watson,CJ,32,PG,6'2",175,4/17/1984
Weber,Briante,25,PG,6'2",165,12/28/1992
West,David,3,PF,6'9",240,8/29/1980
Westbrook,Russell,0,PG,6'3",200,11/12/1988
White,Okaro,15,F,6'8",204,
Whitehead,Isaiah,15,G,5'4",210,3/8/1995
Whiteside,Hassan,21,C,7'0",265,6/13/1989
Whittington,Shayne,42,PF,6'11",250,3/27/1991
Wiggins,Andrew,22,SF,6'8",199,2/23/1995
Wilcox,CJ,30,SG,6'5",195,12/30/1990
Williams,Alan,15,PF,6'8",260,1/28/1993
Williams,Deron,8,PG,6'3",200,6/26/1984
Williams,Derrick,22,SF,6'8",240,5/25/1991
Williams,Elliott,,SG,6'5",183,6/20/1989
Williams,Lou,23,SG,6'1",175,10/26/1986
Williams,M,,C,,,
Williams,Marvin,2,PF,6'9",237,6/19/1986
Williams,Reggie,5,F,6'6",205,9/13/1986
Williams,Troy,10,F,6'7",210,12/30/1994
Wiltjer,Kyle,30,F,6'10",240,10/20/1992
Winslow,Justise,20,SF,6'7",225,3/26/1996
Withey,Jeff,24,C,7'0",231,3/7/1990
Wood,Christian,35,PF,6'11",220,9/27/1995
World Peace,Metta,37,SF,6'7",260,11/13/1979
Wright,Brandan,34,PF,6'10",210,10/5/1987
Wright,Delon,55,PG,6'5",190,4/26/1992
Wroten,Tony,5,G,6'6",205,4/12/1993
Young,James,13,SG,6'6",215,8/16/1995
Young,Joe,1,PG,6'2",180,6/27/1992
Young,Nick,0,SG,6'7",210,6/1/1985
Young,Thaddeus,30,PF,6'8",220,6/21/1988
Zeller,Cody,40,C,7'0",240,10/5/1992
